Publisher,Keyword,Ad Group,Keyword Type,Clicks,Impressions,CTR,Avg CPC,Total Advertising Cost,Avg Position,Conversions,Revenue per Conversion,Total Revenue
Overture,War Game,War Games,exact,2,145,1.38%,0.48,0.95,2.01,0,83.34,0.00
Overture,free computer shooting games,Shooting,exact,0,71,0.00%,0.00,0.00,3.97,0,86.78,0.00
Overture,games of war,War Games,exact,0,44,0.00%,0.00,0.00,1.73,0,99.21,0.00
Overture,war online games,War Games,broad,0,43,0.00%,0.00,0.00,3.33,0,91.61,0.00
Overture,shooting game online free,Shooting,broad,0,19,0.00%,0.00,0.00,5.58,0,90.69,0.00
Overture,war games 2,War Games,exact,1,17,5.88%,0.13,0.13,1.53,0,105.07,0.00
Overture,Game Battleship,Battleship,phrase,2,17,11.76%,0.64,1.28,2.12,1,114.48,114.48
Overture,war download games,War Games,phrase,0,15,0.00%,0.00,0.00,2.47,0,78.96,0.00
Overture,play war,War Games,broad,1,13,7.69%,0.30,0.30,3.00,0,87.58,0.00
Overture,online games war,War Games,exact,0,11,0.00%,0.00,0.00,2.91,0,101.67,0.00
Overture,battleship electronic,Battleship,broad,0,11,0.00%,0.00,0.00,1.55,0,87.19,0.00
Overture,war online game,War Games,exact,0,10,0.00%,0.00,0.00,4.20,0,78.36,0.00
Overture,war free game,War Games,exact,1,10,10.00%,0.33,0.33,2.90,0,83.31,0.00
Overture,online free war games,War Games,broad,2,10,20.00%,0.31,0.62,3.50,0,97.92,0.00
Overture,online battle games,War Games,phrase,0,9,0.00%,0.00,0.00,4.67,0,77.40,0.00
Overture,milton bradley battleship,Battleship,exact,0,8,0.00%,0.00,0.00,1.75,0,84.74,0.00
Overture,war games online,War Games,broad,0,5,0.00%,0.00,0.00,4.80,0,124.41,0.00
Overture,free online war games,War Games,broad,0,5,0.00%,0.00,0.00,4.80,0,121.21,0.00
Overture,hasbro battleship game,Battleship,exact,0,5,0.00%,0.00,0.00,1.40,0,103.94,0.00
Overture,war game online,War Games,phrase,0,3,0.00%,0.00,0.00,2.00,0,76.17,0.00
Overture,war games to play online,War Games,broad,0,3,0.00%,0.00,0.00,5.00,0,78.49,0.00
Overture,play free war games online,War Games,broad,0,3,0.00%,0.00,0.00,3.00,0,76.73,0.00
Overture,battleship toys,Battleship,broad,0,3,0.00%,0.00,0.00,3.67,0,119.86,0.00
Overture,game battleships,Battleship,broad,0,3,0.00%,0.00,0.00,1.33,0,116.63,0.00
Overture,board game battleship,Battleship,phrase,0,3,0.00%,0.00,0.00,1.33,0,116.16,0.00
Overture,battleship 3d,Battleship,phrase,0,3,0.00%,0.00,0.00,1.67,0,82.24,0.00
Overture,online war games,War Games,phrase,0,2,0.00%,0.00,0.00,1.00,0,82.94,0.00
Overture,multiplayer war games,War Games,phrase,0,2,0.00%,0.00,0.00,2.00,0,112.86,0.00
Overture,Play war games,War Games,broad,0,2,0.00%,0.00,0.00,6.00,0,85.28,0.00
Overture,world war games online,War Games,broad,0,2,0.00%,0.00,0.00,4.00,0,91.34,0.00
Overture,play war games free,War Games,exact,0,2,0.00%,0.00,0.00,2.00,0,82.10,0.00
Overture,toy battleship,Battleship,phrase,0,2,0.00%,0.00,0.00,1.00,0,97.40,0.00
Overture,classic battleship game,Battleship,phrase,0,2,0.00%,0.00,0.00,1.50,0,104.75,0.00
Overture,game battleship online,Battleship,exact,0,2,0.00%,0.00,0.00,4.00,0,103.75,0.00
Overture,basketball shoot game,Shooting,exact,0,2,0.00%,0.00,0.00,2.00,0,81.66,0.00
Overture,war games to play,War Games,exact,1,1,100.00%,0.30,0.30,1.00,0,119.68,0.00
Overture,play online war games,War Games,broad,0,1,0.00%,0.00,0.00,2.00,0,110.38,0.00
Overture,war game online free,War Games,phrase,0,1,0.00%,0.00,0.00,2.00,0,121.28,0.00
Overture,free war games online,War Games,broad,0,1,0.00%,0.00,0.00,7.00,0,81.29,0.00
Overture,play free war games,War Games,phrase,1,1,100.00%,0.26,0.26,2.00,0,119.12,0.00
Overture,war game play,War Games,exact,0,1,0.00%,0.00,0.00,1.00,0,92.29,0.00
Overture,to play war games,War Games,phrase,0,1,0.00%,0.00,0.00,3.00,0,122.95,0.00
Overture,play war games for free,War Games,phrase,1,1,100.00%,0.37,0.37,4.00,0,109.35,0.00
Overture,online war games free,War Games,phrase,0,1,0.00%,0.00,0.00,7.00,0,85.46,0.00
Overture,multiplayer war games online,War Games,exact,0,1,0.00%,0.00,0.00,6.00,0,113.86,0.00
Overture,online war games for free,War Games,broad,0,1,0.00%,0.00,0.00,5.00,0,125.32,0.00
Overture,play war games free online,War Games,exact,0,1,0.00%,0.00,0.00,4.00,0,90.13,0.00
Overture,Plants vs. Zombies,Plants vs. Zombies,exact,3,282,1.06%,0.27,0.80,3.16,0,78.35,0.00
Overture,Zombie games,Online Zombie Games,exact,8,273,2.93%,0.34,2.68,1.41,0,113.57,0.00
Overture,Boxheads,Boxhead,exact,0,33,0.00%,0.00,0.00,1.88,0,135.92,0.00
Overture,free zombie online games,Online Zombie Games,exact,0,17,0.00%,0.00,0.00,2.24,0,397.55,0.00
Overture,Boxheads 2play,Boxhead,exact,0,10,0.00%,0.00,0.00,2.80,0,362.07,0.00
Overture,Games zombie,Online Zombie Games,exact,1,7,14.29%,0.20,0.20,1.43,0,177.39,0.00
Overture,plants vs zombie free online,Plants vs. Zombies,phrase,0,2,0.00%,0.00,0.00,3.00,0,350.18,0.00
Overture,flash zombie game,Online Zombie Games,broad,0,2,0.00%,0.00,0.00,3.00,0,321.59,0.00
Overture,Zombie game,Online Zombie Games,broad,0,0,0.00%,0.00,0.00,0.00,0,194.42,0.00
Yahoo-US,zombie games,Zombie games,phrase,6,270,2.22%,0.05,0.30,1.31,2,205.39,410.79
Yahoo-US,online zombie games,Zombie games,exact,3,224,1.34%,0.31,0.93,3.19,0,282.54,0.00
Yahoo-US,free zombie games,Zombie games,broad,0,31,0.00%,0.00,0.00,4.19,0,270.78,0.00
Yahoo-US,zombies games,Zombie games,broad,1,115,0.87%,0.32,0.32,2.09,0,130.38,0.00
Yahoo-US,zombie games online,Zombie games,broad,0,60,0.00%,0.00,0.00,9.26,0,255.97,0.00
Yahoo-US,play zombie games,Zombie games,broad,4,1268,0.32%,0.39,1.56,3.37,1,298.22,298.22
Yahoo-US,free online zombie games,Zombie games,broad,0,73,0.00%,0.00,0.00,9.00,0,302.33,0.00
Yahoo-US,zombie games online free,Zombie games,broad,2,74,2.70%,0.25,0.50,1.68,0,332.59,0.00
Yahoo-US,plants vs zombies game,Zombie games,phrase,0,64,0.00%,0.00,0.00,4.16,0,248.54,0.00
Yahoo-US,zombie mmorpg games,Zombie games,phrase,0,22,0.00%,0.00,0.00,8.32,0,253.48,0.00
Yahoo-US,zombie shooting games,Zombie games,broad,0,37,0.00%,0.00,0.00,3.17,0,207.97,0.00
Yahoo-US,zombie killing games,Zombie games,exact,0,27,0.00%,0.00,0.00,6.25,0,158.05,0.00
Yahoo-US,best zombie games,Zombie games,phrase,0,94,0.00%,0.00,0.00,2.58,0,336.66,0.00
Yahoo-US,zombie games for free,Zombie games,exact,3,170,1.76%,0.53,1.59,2.37,0,381.37,0.00
Yahoo-US,zombie strategy games,Zombie games,exact,2,141,1.42%,0.17,0.34,3.50,0,125.27,0.00
Yahoo-US,zombie flash game,Zombie games,exact,3,141,2.13%,0.05,0.15,1.03,0,246.50,0.00
Yahoo-US,multiplayer zombie games,Zombie games,phrase,4,372,1.08%,0.05,0.20,2.49,1,239.42,239.42
Yahoo-US,zombie head games,Zombie games,broad,3,324,0.93%,0.05,0.15,2.31,0,344.29,0.00
Yahoo-US,zombie farm game,Zombie games,phrase,13,894,1.45%,0.15,1.95,2.43,3,98.63,295.90
Yahoo-US,2 player zombie games,Zombie games,broad,0,32,0.00%,0.00,0.00,4.58,0,383.04,0.00
Yahoo-US,fun zombie games,Zombie games,broad,0,37,0.00%,0.00,0.00,8.25,0,228.47,0.00
Yahoo-US,zombie games for xbox 360,Zombie games,broad,0,103,0.00%,0.00,0.00,2.94,0,361.50,0.00
Yahoo-US,all zombie games,Zombie games,phrase,0,156,0.00%,0.00,0.00,1.98,0,257.05,0.00
Yahoo-US,scary zombie games,Zombie games,exact,0,48,0.00%,0.00,0.00,4.83,0,76.16,0.00
Yahoo-US,zombie survival games,Zombie games,phrase,2,104,1.92%,0.05,0.10,2.04,2,275.42,550.84
Yahoo-US,plants vs zombies games,Zombie games,exact,2,96,2.08%,0.38,0.76,1.52,1,298.36,298.36
Yahoo-US,zombie war games,Zombie games,broad,1,132,0.76%,0.12,0.12,4.04,0,332.92,0.00
Yahoo-US,zombie games online multiplayer,Zombie games,broad,1,51,1.96%,0.22,0.22,3.33,0,321.34,0.00
Yahoo-US,zombie flash games,Zombie games,broad,0,57,0.00%,0.00,0.00,4.21,0,245.27,0.00
Yahoo-US,online multiplayer zombie games,Zombie games,broad,0,32,0.00%,0.00,0.00,8.87,0,243.83,0.00
Yahoo-US,zombie infection games,Zombie games,phrase,6,905,0.66%,0.05,0.30,6.45,2,325.21,650.41
Yahoo-US,zombie defense games,Zombie games,phrase,1,39,2.56%,0.05,0.05,3.26,0,160.65,0.00
Yahoo-US,zombie rpg games,Zombie games,broad,5,1485,0.34%,0.05,0.25,5.06,2,140.76,281.52
Yahoo-US,zombie horror games,Zombie games,exact,0,55,0.00%,0.00,0.00,3.24,0,350.58,0.00
Yahoo-US,killing zombie games,Zombie games,phrase,1,81,1.23%,0.05,0.05,7.52,0,171.33,0.00
Yahoo-US,killing zombies games,Zombie games,broad,0,53,0.00%,0.00,0.00,3.09,0,171.93,0.00
Yahoo-US,zombie games for pc,Zombie games,broad,3,167,1.80%,0.20,0.60,1.81,2,202.70,405.41
Yahoo-US,zombie shooter games,Zombie games,phrase,0,133,0.00%,0.00,0.00,3.20,0,180.65,0.00
Yahoo-US,zombie attack game,Zombie games,broad,5,213,2.35%,0.05,0.25,1.56,1,183.31,183.31
Yahoo-US,free online zombie survival games,Zombie games,exact,1,77,1.30%,0.05,0.05,3.84,0,258.88,0.00
Yahoo-US,zombie online games,Zombie games,phrase,0,45,0.00%,0.00,0.00,3.37,0,83.54,0.00
Yahoo-US,zombie baseball 2 game,Zombie games,exact,0,16,0.00%,0.00,0.00,9.04,0,114.94,0.00
Yahoo-US,zombie video games,Zombie games,exact,0,17,0.00%,0.00,0.00,9.88,0,356.53,0.00
Yahoo-US,make a zombie game,Zombie games,broad,1,477,0.21%,0.05,0.05,2.94,1,184.51,184.51
Yahoo-US,play free zombie games,Zombie games,phrase,0,49,0.00%,0.00,0.00,4.06,0,276.96,0.00
Yahoo-US,zombie multiplayer games,Zombie games,exact,0,76,0.00%,0.00,0.00,6.30,0,217.55,0.00
Yahoo-US,zombie baseball game,Zombie games,exact,0,40,0.00%,0.00,0.00,3.85,0,271.37,0.00
Yahoo-US,free zombies games,Zombie games,broad,28,2449,1.14%,0.26,7.28,4.22,22,157.54,3465.83
Yahoo-US,zombie game online,Zombie games,broad,1,96,1.04%,0.05,0.05,1.57,0,150.89,0.00
Yahoo-US,xbox 360 zombie games,Zombie games,exact,2,710,0.28%,0.05,0.10,7.73,0,167.23,0.00
Yahoo-US,free zombie game downloads,Zombie games,broad,0,88,0.00%,0.00,0.00,2.21,0,314.01,0.00
Yahoo-US,plants vs zombies online game free,Zombie games,broad,0,42,0.00%,0.00,0.00,6.64,0,255.08,0.00
Yahoo-US,free zombie game,Zombie games,phrase,0,19,0.00%,0.00,0.00,7.35,0,191.25,0.00
Yahoo-US,free online multiplayer zombie games,Zombie games,broad,0,43,0.00%,0.00,0.00,3.30,0,235.61,0.00
Yahoo-US,boxhead zombie wars game,Zombie games,broad,4,120,3.33%,0.05,0.20,1.11,0,212.00,0.00
Yahoo-US,shooting games,Zombie games,broad,1,63,1.59%,0.48,0.48,4.00,0,259.09,0.00
Yahoo-US,crazy monkey games,Zombie games,broad,9,2192,0.41%,0.05,0.45,6.03,9,349.70,3147.28
Yahoo-US,fun games,Zombie games,phrase,0,44,0.00%,0.00,0.00,3.74,0,262.84,0.00
Yahoo-US,cool games,Zombie games,phrase,1,68,1.47%,0.05,0.05,2.10,1,186.82,186.82
Yahoo-US,dirt bike games,Zombie games,broad,0,39,0.00%,0.00,0.00,9.09,0,271.24,0.00
Yahoo-US,zombies games online,Zombie games,broad,55,6949,0.79%,0.26,14.30,4.89,10,244.89,2448.91
Yahoo-US,monster truck games,Zombie games,broad,0,55,0.00%,0.00,0.00,3.44,0,277.94,0.00
Yahoo-US,racing games,Zombie games,exact,0,51,0.00%,0.00,0.00,2.99,0,336.53,0.00
Yahoo-US,free shooting games,Zombie games,phrase,0,42,0.00%,0.00,0.00,4.52,0,225.11,0.00
Yahoo-US,kids games,Zombie games,phrase,1,114,0.88%,0.36,0.36,2.52,1,189.00,189.00
Yahoo-US,pool games,Zombie games,phrase,2,117,1.71%,0.23,0.46,2.05,1,192.08,192.08
Yahoo-US,skateboarding games,Zombie games,broad,1,87,1.15%,0.05,0.05,3.63,0,339.22,0.00
Yahoo-US,zombie soccer game,Zombie games,phrase,0,45,0.00%,0.00,0.00,5.81,0,184.10,0.00
Yahoo-US,airplane games,Zombie games,exact,1,92,1.09%,0.14,0.14,1.64,0,157.45,0.00
Yahoo-US,play games online,Zombie games,broad,1,56,1.79%,0.22,0.22,3.81,0,324.68,0.00
Yahoo-US,bowling games,Zombie games,phrase,0,65,0.00%,0.00,0.00,6.77,0,345.43,0.00
Yahoo-US,hidden object games,Zombie games,phrase,0,37,0.00%,0.00,0.00,6.30,0,221.84,0.00
Yahoo-US,play free games,Zombie games,broad,2,301,0.66%,0.59,1.18,8.42,0,242.45,0.00
Yahoo-US,chess games,Zombie games,broad,0,32,0.00%,0.00,0.00,8.41,0,244.59,0.00
Yahoo-US,cool games online,Zombie games,phrase,0,75,0.00%,0.00,0.00,3.55,0,209.08,0.00
Yahoo-US,free mmorpg zombie games,Zombie games,broad,3,140,2.14%,0.18,0.54,1.61,3,192.26,576.78
Yahoo-US,sports games,Zombie games,broad,0,95,0.00%,0.00,0.00,3.07,0,340.33,0.00
Yahoo-US,plants vs zombies online game,Zombie games,broad,1,107,0.93%,0.67,0.67,3.97,1,334.44,334.44
Yahoo-US,zombie survival game,Zombie games,broad,0,21,0.00%,0.00,0.00,9.80,0,178.55,0.00
Yahoo-US,internet games,Zombie games,broad,2,149,1.34%,0.30,0.60,2.40,0,248.13,0.00
Yahoo-US,pokemon games,Zombie games,phrase,1,118,0.85%,0.21,0.21,1.31,0,186.67,0.00
Yahoo-US,monopoly online,Zombie games,exact,0,102,0.00%,0.00,0.00,1.91,0,205.65,0.00
Yahoo-US,scooby doo games,Zombie games,broad,6,419,1.43%,0.05,0.30,2.47,1,195.65,195.65
Yahoo-US,free shooting games online,Zombie games,broad,0,73,0.00%,0.00,0.00,3.42,0,236.32,0.00
Yahoo-US,batman games,Zombie games,broad,0,36,0.00%,0.00,0.00,5.87,0,236.35,0.00
Yahoo-US,hot wheels games,Zombie games,broad,0,44,0.00%,0.00,0.00,8.21,0,214.80,0.00
Yahoo-US,upcoming zombie games,Zombie games,broad,0,39,0.00%,0.00,0.00,6.45,0,171.71,0.00
Yahoo-US,skateboard games,Zombie games,phrase,0,100,0.00%,0.00,0.00,7.11,0,213.40,0.00
Yahoo-US,flash zombie games,Zombie games,phrase,1,73,1.37%,0.05,0.05,1.86,0,303.23,0.00
Yahoo-US,zombie games shooting games,Zombie games,exact,0,53,0.00%,0.00,0.00,4.25,0,324.66,0.00
Yahoo-US,alien games,Zombie games,broad,1,68,1.47%,0.05,0.05,1.96,0,233.67,0.00
Yahoo-US,best zombie game,Zombie games,broad,0,36,0.00%,0.00,0.00,4.67,0,253.53,0.00
Yahoo-US,zombie games for kids,Zombie games,broad,135,5014,2.69%,0.05,6.75,1.35,40,281.22,11248.84
Yahoo-US,online zombie games free,Zombie games,phrase,1,57,1.75%,0.05,0.05,2.09,1,132.65,132.65
Yahoo-US,strategy games,Zombie games,phrase,0,41,0.00%,0.00,0.00,4.35,0,137.30,0.00
Yahoo-US,funny games,Zombie games,exact,0,68,0.00%,0.00,0.00,2.26,0,295.14,0.00
Yahoo-US,zombie apocalypse game,Zombie games,exact,0,74,0.00%,0.00,0.00,4.77,0,131.74,0.00
Yahoo-US,rpg games,Zombie games,broad,1,103,0.97%,0.64,0.64,3.94,1,267.12,267.12
Yahoo-US,free zombie shooting games,Zombie games,broad,2,75,2.67%,0.06,0.12,1.99,0,248.45,0.00
Yahoo-US,zombie games free,Zombie games,phrase,0,72,0.00%,0.00,0.00,2.18,0,234.16,0.00
Google-US,multiplayer online games,Zombie Games-G,phrase,7,82,8.54%,0.32,2.24,1.62,2,397.80,795.59
Google-US,zombie tower defence games,Zombie Games-G,broad,0,27,0.00%,0.00,0.00,3.80,0,364.57,0.00
Google-US,free online zombie strategy games,Zombie Games-G,exact,2,32,6.25%,0.05,0.10,2.35,0,100.90,0.00
Google-US,zombie hole game,Zombie Games-G,phrase,1,31,3.23%,0.05,0.05,4.85,0,174.79,0.00
Google-US,free zombie fps games,Zombie Games-G,phrase,1,35,2.86%,0.05,0.05,3.57,0,281.49,0.00
Google-US,multiplayer zombie flash games,Zombie Games-G,exact,3,57,5.26%,0.05,0.15,1.31,3,108.78,326.34
Google-US,best zombie video games,Zombie Games-G,broad,1,27,3.70%,0.05,0.05,3.47,0,158.74,0.00
Google-US,online zombie survival game multiplayer,Zombie Games-G,exact,22,194,11.34%,0.05,1.10,1.37,1,365.10,365.10
Google-US,new zombie games 2010,Zombie Games-G,phrase,282,4348,6.49%,0.05,14.10,1.21,104,309.51,32188.71
Google-US,free multiplayer online games,Zombie Games-G,broad,0,33,0.00%,0.00,0.00,3.89,0,138.03,0.00
Google-US,zombie survival games multiplayer,Zombie Games-G,phrase,1,39,2.56%,0.05,0.05,3.69,0,87.77,0.00
Google-US,zombie shooter pc game,Zombie Games-G,phrase,8,704,1.14%,0.05,0.40,2.67,1,326.86,326.86
Google-US,game websites,Zombie Games-G,exact,2,236,0.85%,0.09,0.18,6.10,0,374.42,0.00
Google-US,zombie sports games,Zombie Games-G,broad,1,18,5.56%,0.05,0.05,4.03,0,347.72,0.00
Google-US,zombie creator games,Zombie Games-G,broad,0,127,0.00%,0.00,0.00,2.50,0,237.77,0.00
Google-US,zombie tower defense games,Zombie Games-G,exact,0,23,0.00%,0.00,0.00,5.26,0,172.98,0.00
Google-US,good zombie games for pc,Zombie Games-G,phrase,1,72,1.39%,0.05,0.05,6.10,0,369.66,0.00
Google-US,endless zombie killing game,Zombie Games-G,broad,0,20,0.00%,0.00,0.00,8.07,0,170.11,0.00
Google-US,unblocked games,Zombie Games-G,exact,3,84,3.57%,0.13,0.39,2.95,2,146.37,292.74
Google-US,zombie games 2010,Zombie Games-G,broad,0,31,0.00%,0.00,0.00,3.95,0,292.45,0.00
Google-US,zombie golf games,Zombie Games-G,exact,27,253,10.67%,0.13,3.51,1.50,2,315.01,630.01
Google-US,zombie simulator,Zombie Games-G,phrase,7,86,8.14%,0.05,0.35,2.56,0,158.63,0.00
Google-US,letum zombie game,Zombie Games-G,broad,3,136,2.21%,0.06,0.18,6.27,0,276.68,0.00
Google-US,new zombie games for xbox 360,Zombie Games-G,phrase,13,89,14.61%,0.13,1.69,1.04,13,307.25,3994.21
Google-US,weird zombie games,Zombie Games-G,exact,0,19,0.00%,0.00,0.00,3.24,0,315.77,0.00
Google-US,new zombie video games,Zombie Games-G,phrase,1,29,3.45%,0.05,0.05,3.64,0,193.11,0.00
Google-US,upcoming zombie games,Zombie Games-G,broad,3,46,6.52%,0.05,0.15,1.59,1,195.14,195.14
Google-US,zombie td games,Zombie Games-G,broad,4,38,10.53%,0.05,0.20,1.74,0,305.14,0.00
Google-US,zombie game creator,Zombie Games-G,phrase,4,74,5.41%,0.05,0.20,2.05,0,370.44,0.00
Google-US,zombie video games xbox 360,Zombie Games-G,phrase,1,41,2.44%,0.05,0.05,1.76,0,132.55,0.00
Google-US,zombie survival games online multiplayer,Zombie Games-G,phrase,6,87,6.90%,0.05,0.30,2.21,1,111.92,111.92
Google-US,online multiplayer zombie survival game,Zombie Games-G,exact,1,161,0.62%,0.05,0.05,4.58,0,254.26,0.00
Google-US,zombie game xbox 360,Zombie Games-G,broad,5,98,5.10%,0.05,0.25,3.91,2,240.04,480.07
Google-US,multiplayer games online,Zombie Games-G,broad,1,23,4.35%,0.46,0.46,4.22,0,201.79,0.00
Google-US,zombie maker game,Zombie Games-G,phrase,0,19,0.00%,0.00,0.00,6.42,0,279.82,0.00
Google-US,best zombie board game,Zombie Games-G,broad,1,28,3.57%,0.05,0.05,3.72,0,385.55,0.00
Google-US,how to make a zombie game,Zombie Games-G,phrase,1,53,1.89%,0.15,0.15,4.88,0,365.85,0.00
Google-US,multiplayer games,Zombie Games-G,exact,0,26,0.00%,0.00,0.00,9.52,0,150.01,0.00
Google-US,rpg games,Zombie Games-G,phrase,0,22,0.00%,0.00,0.00,3.19,0,356.32,0.00
Google-US,zombie video game,Zombie Games-G,phrase,3,33,9.09%,0.05,0.15,1.82,2,322.73,645.45
Google-US,xbox 360 zombie video games,Zombie Games-G,exact,1,23,4.35%,0.08,0.08,5.28,0,171.36,0.00
Google-US,action games,Zombie Games-G,exact,0,34,0.00%,0.00,0.00,4.77,0,306.89,0.00
Google-US,online multiplayer games,Zombie Games-G,phrase,5,81,6.17%,0.53,2.65,2.74,0,343.25,0.00
Google-US,endless zombie rampage game,Zombie Games-G,exact,2,115,1.74%,0.05,0.10,1.91,0,324.51,0.00
Google-US,zombie game toyz,Zombie Games-G,broad,0,40,0.00%,0.00,0.00,8.93,0,177.87,0.00
Google-US,online fps zombie games,Zombie Games-G,exact,0,9,0.00%,0.00,0.00,8.60,0,365.28,0.00
Google-US,free online multiplayer games,Zombie Games-G,broad,0,14,0.00%,0.00,0.00,6.99,0,134.79,0.00
Google-US,multiplayer zombie survival game,Zombie Games-G,broad,1,34,2.94%,0.05,0.05,6.97,0,298.92,0.00
Google-US,zombie fps games,Zombie Games-G,phrase,1,21,4.76%,0.07,0.07,3.47,0,254.06,0.00
Google-US,make your own zombie game,Zombie Games-G,exact,6,161,3.73%,0.20,1.20,4.20,1,374.97,374.97
MSN-US,girls games,Zombie Games-M,broad,1,117,0.85%,0.35,0.35,1.79,0,317.29,0.00
MSN-US,car games,Zombie Games-M,phrase,2,371,0.54%,0.18,0.36,2.85,0,259.42,0.00
